Sample,numGrains,0-23 Ma,23-65 Ma,65-85 Ma,85-100 Ma,100-135 Ma,135-200 Ma,200-300 Ma,300-500 Ma,500-4500 Ma,0-23 Ma (%),23-65 Ma (%),65-85 Ma (%),85-100 Ma (%),100-135 Ma (%),135-200 Ma (%),200-300 Ma (%),300-500 Ma (%),500-4500 Ma (%)
CT-1,152.0,145,1,1,0,0,4,0,0,1,0.9539473684210527,0.006578947368421052,0.006578947368421052,0.0,0.0,0.02631578947368421,0.0,0.0,0.006578947368421052
CT-2,251.0,186,0,1,9,30,10,4,9,2,0.7410358565737052,0.0,0.00398406374501992,0.035856573705179286,0.11952191235059761,0.0398406374501992,0.01593625498007968,0.035856573705179286,0.00796812749003984
CT-3,267.0,0,0,0,0,0,53,23,190,1,0.0,0.0,0.0,0.0,0.0,0.19850187265917604,0.08614232209737828,0.7116104868913857,0.003745318352059925
CT-4,308.0,286,4,3,5,0,10,0,0,0,0.9285714285714286,0.012987012987012988,0.00974025974025974,0.016233766233766232,0.0,0.032467532467532464,0.0,0.0,0.0
CT-5,259.0,247,0,2,5,0,5,0,0,0,0.9536679536679536,0.0,0.007722007722007722,0.019305019305019305,0.0,0.019305019305019305,0.0,0.0,0.0
CT-6,299.0,289,1,0,2,0,6,0,0,1,0.9665551839464883,0.0033444816053511705,0.0,0.006688963210702341,0.0,0.020066889632107024,0.0,0.0,0.0033444816053511705
CT-7,219.0,206,2,1,5,1,4,0,0,0,0.9406392694063926,0.0091324200913242,0.0045662100456621,0.0228310502283105,0.0045662100456621,0.0182648401826484,0.0,0.0,0.0
CT-8.2,222.0,208,1,2,6,0,3,0,2,0,0.9369369369369369,0.0045045045045045045,0.009009009009009009,0.02702702702702703,0.0,0.013513513513513514,0.0,0.009009009009009009,0.0
CT-9,250.0,183,0,4,12,26,9,4,10,2,0.732,0.0,0.016,0.048,0.104,0.036,0.016,0.04,0.008
CT-10,203.0,191,2,2,2,1,4,0,1,0,0.9408866995073891,0.009852216748768473,0.009852216748768473,0.009852216748768473,0.0049261083743842365,0.019704433497536946,0.0,0.0049261083743842365,0.0
CT-11,215.0,202,2,2,2,2,3,1,1,0,0.9395348837209302,0.009302325581395349,0.009302325581395349,0.009302325581395349,0.009302325581395349,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.0
